distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
0,23,13,AOD,method,Unknown,12,AOD,assignment,Unknown,1,killed
7,22,13,AOD,method,Unknown,11,AOR,method,Unknown,8,survived
8,19,13,AOD,method,Unknown,8,AOR,assignment,Unknown,9,survived
27,14,13,AOD,method,Unknown,7,AOR,assignment,Unknown,28,survived
31,19,13,AOD,method,Unknown,12,AOR,method,Unknown,32,survived
40,5,13,AOD,method,Unknown,10,AOR,assignment,Unknown,41,survived
42,12,13,AOD,method,Unknown,9,AOR,method,Unknown,43,survived
60,18,13,AOD,method,Unknown,7,AOR,assignment,Unknown,61,survived
61,19,13,AOD,method,Unknown,8,AOR,assignment,Unknown,62,survived
63,20,13,AOD,method,Unknown,9,AOR,assignment,Unknown,64,survived
65,24,13,AOD,method,Unknown,13,AOR,assignment,Unknown,66,killed
67,20,13,AOD,method,Unknown,9,AOR,method,Unknown,68,survived
78,21,13,AOD,method,Unknown,10,AOR,method,Unknown,79,survived
79,20,13,AOD,method,Unknown,9,AOR,method,Unknown,80,survived
80,20,13,AOD,method,Unknown,9,AOR,method,Unknown,81,survived
81,19,13,AOD,method,Unknown,8,AOR,assignment,Unknown,82,survived
82,20,13,AOD,method,Unknown,9,AOR,assignment,Unknown,83,survived
83,20,13,AOD,method,Unknown,9,AOR,method,Unknown,84,survived
84,20,13,AOD,method,Unknown,9,AOR,method,Unknown,85,survived
85,18,13,AOD,method,Unknown,7,ASR,assignment,Unknown,86,survived
86,14,13,AOD,method,Unknown,7,ASR,assignment,Unknown,87,survived
87,14,13,AOD,method,Unknown,7,ASR,assignment,Unknown,88,survived
88,18,13,AOD,method,Unknown,7,ASR,assignment,Unknown,89,survived
89,18,13,AOD,method,Unknown,7,ASR,assignment,Unknown,90,survived
90,16,13,AOD,method,Unknown,5,BCR,loop,Unknown,91,killed
91,11,13,AOD,method,Unknown,6,BCR,loop,Unknown,92,survived
92,14,13,AOD,method,Unknown,5,BCR,loop,Unknown,93,survived
93,17,13,AOD,method,Unknown,6,BCR,loop,Unknown,94,survived
94,18,13,AOD,method,Unknown,7,COD,conditional,bool,95,survived
95,14,13,AOD,method,Unknown,3,COI,conditional,bool,96,killed
96,14,13,AOD,method,Unknown,3,COI,conditional,bool,97,killed
97,14,13,AOD,method,Unknown,3,COI,conditional,bool,98,killed
98,14,13,AOD,method,Unknown,3,COI,conditional,bool,99,killed
99,16,13,AOD,method,Unknown,5,COI,conditional,bool,100,killed
100,14,13,AOD,method,Unknown,3,COI,conditional,bool,101,killed
101,16,13,AOD,method,Unknown,5,COI,conditional,bool,102,killed
102,14,13,AOD,method,Unknown,3,COI,conditional,bool,103,survived
103,16,13,AOD,method,Unknown,5,COI,conditional,bool,104,survived
104,15,13,AOD,method,Unknown,4,COI,conditional,bool,105,survived
105,16,13,AOD,method,Unknown,5,COI,conditional,bool,106,survived
106,18,13,AOD,method,Unknown,7,COI,conditional,bool,107,survived
107,16,13,AOD,method,Unknown,5,COI,conditional,bool,108,survived
108,15,13,AOD,method,Unknown,4,COI,conditional,bool,109,survived
109,15,13,AOD,method,Unknown,4,COI,conditional,bool,110,survived
110,16,13,AOD,method,Unknown,5,COI,conditional,bool,111,survived
111,17,13,AOD,method,Unknown,6,COI,conditional,bool,112,survived
113,12,13,AOD,method,Unknown,3,COI,conditional,bool,114,survived
114,11,13,AOD,method,Unknown,4,COI,conditional,bool,115,survived
115,11,13,AOD,method,Unknown,4,COI,conditional,bool,116,survived
116,11,13,AOD,method,Unknown,4,COI,conditional,bool,117,survived
117,13,13,AOD,method,Unknown,6,COI,conditional,bool,118,survived
118,15,13,AOD,method,Unknown,8,COI,conditional,bool,119,survived
119,10,13,AOD,method,Unknown,5,COI,conditional,bool,120,survived
120,12,13,AOD,method,Unknown,7,COI,conditional,bool,121,survived
121,9,13,AOD,method,Unknown,8,COI,conditional,bool,122,killed
122,13,13,AOD,method,Unknown,4,COI,conditional,bool,123,survived
123,14,13,AOD,method,Unknown,3,COI,conditional,bool,124,survived
124,15,13,AOD,method,Unknown,4,COI,conditional,bool,125,survived
125,15,13,AOD,method,Unknown,4,COI,conditional,bool,126,survived
126,16,13,AOD,method,Unknown,5,COI,conditional,bool,127,survived
127,18,13,AOD,method,Unknown,7,COI,conditional,bool,128,survived
128,16,13,AOD,method,Unknown,5,COI,conditional,bool,129,survived
129,17,13,AOD,method,Unknown,6,COI,conditional,bool,130,survived
130,18,13,AOD,method,Unknown,7,COI,conditional,bool,131,survived
131,15,13,AOD,method,Unknown,4,COI,conditional,bool,132,survived
132,15,13,AOD,method,Unknown,4,COI,conditional,bool,133,survived
133,16,13,AOD,method,Unknown,5,COI,conditional,bool,134,survived
134,15,13,AOD,method,Unknown,4,COI,conditional,bool,135,survived
135,16,13,AOD,method,Unknown,5,COI,conditional,bool,136,survived
136,15,13,AOD,method,Unknown,4,CRP,return,Unknown,137,survived
137,15,13,AOD,method,Unknown,4,CRP,return,Unknown,138,survived
138,18,13,AOD,method,Unknown,7,CRP,return,Unknown,139,killed
139,18,13,AOD,method,Unknown,7,CRP,return,Unknown,140,killed
140,17,13,AOD,method,Unknown,6,CRP,return,Unknown,141,killed
141,17,13,AOD,method,Unknown,6,CRP,return,Unknown,142,killed
142,16,13,AOD,method,Unknown,5,CRP,return,Unknown,143,killed
