distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
281,5,8,AOR,method,Unknown,5,COI,conditional,bool,282,killed
386,7,8,AOR,method,Unknown,7,ROR,conditional,bool,387,killed
658,11,6,AOR,method,Unknown,7,ASR,assignment,Unknown,659,survived
660,4,6,AOR,method,Unknown,4,BCR,loop,Unknown,661,survived
662,8,6,AOR,method,Unknown,4,COD,conditional,bool,663,survived
664,11,6,AOR,method,Unknown,7,COD,conditional,bool,665,killed
667,7,6,AOR,method,Unknown,3,COI,conditional,bool,668,survived
669,8,6,AOR,method,Unknown,4,COI,conditional,bool,670,killed
672,8,6,AOR,method,Unknown,4,COI,conditional,bool,673,killed
673,10,6,AOR,method,Unknown,6,COI,conditional,bool,674,killed
675,10,6,AOR,method,Unknown,6,COI,conditional,bool,676,killed
678,7,6,AOR,method,Unknown,3,COI,conditional,bool,679,killed
679,8,6,AOR,method,Unknown,4,CRP,assignment,Unknown,680,killed
680,8,6,AOR,method,Unknown,4,CRP,assignment,Unknown,681,killed
681,8,6,AOR,method,Unknown,4,CRP,method,Unknown,682,survived
685,11,6,AOR,method,Unknown,7,CRP,method,Unknown,686,survived
686,11,6,AOR,method,Unknown,7,CRP,method,Unknown,687,survived
687,11,6,AOR,method,Unknown,7,CRP,assignment,Unknown,688,killed
688,11,6,AOR,method,Unknown,7,CRP,method,Unknown,689,survived
689,11,6,AOR,method,Unknown,7,CRP,method,Unknown,690,survived
690,9,6,AOR,method,Unknown,5,CRP,assignment,Unknown,691,killed
691,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,692,survived
692,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,693,survived
693,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,694,survived
694,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,695,survived
698,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,699,survived
699,12,6,AOR,method,Unknown,8,CRP,method,Unknown,700,survived
701,12,6,AOR,method,Unknown,8,CRP,method,Unknown,702,survived
702,12,6,AOR,method,Unknown,8,CRP,method,Unknown,703,survived
704,12,6,AOR,method,Unknown,8,CRP,conditional,Unknown,705,survived
705,12,6,AOR,method,Unknown,8,CRP,method,Unknown,706,survived
706,12,6,AOR,method,Unknown,8,CRP,method,Unknown,707,survived
708,12,6,AOR,method,Unknown,8,CRP,assignment,Unknown,709,survived
709,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,710,survived
710,10,6,AOR,method,Unknown,6,CRP,assignment,Unknown,711,survived
711,11,6,AOR,method,Unknown,7,CRP,conditional,Unknown,712,survived
712,11,6,AOR,method,Unknown,7,CRP,conditional,Unknown,713,survived
713,11,6,AOR,method,Unknown,7,CRP,conditional,Unknown,714,survived
714,11,6,AOR,method,Unknown,7,CRP,conditional,Unknown,715,survived
715,13,6,AOR,method,Unknown,9,CRP,conditional,Unknown,716,survived
716,13,6,AOR,method,Unknown,9,CRP,conditional,Unknown,717,survived
717,13,6,AOR,method,Unknown,9,CRP,method,Unknown,718,survived
718,13,6,AOR,method,Unknown,9,CRP,method,Unknown,719,survived
719,12,6,AOR,method,Unknown,8,CRP,assignment,Unknown,720,survived
720,12,6,AOR,method,Unknown,8,CRP,assignment,Unknown,721,survived
721,12,6,AOR,method,Unknown,8,CRP,assignment,Unknown,722,survived
722,12,6,AOR,method,Unknown,8,CRP,assignment,Unknown,723,survived
723,13,6,AOR,method,Unknown,9,CRP,method,Unknown,724,killed
724,13,6,AOR,method,Unknown,9,CRP,method,Unknown,725,killed
725,10,6,AOR,method,Unknown,6,CRP,method,Unknown,726,killed
726,11,6,AOR,method,Unknown,7,CRP,assignment,Unknown,727,killed
727,11,6,AOR,method,Unknown,7,CRP,assignment,Unknown,728,killed
728,9,6,AOR,method,Unknown,5,CRP,method,Unknown,729,survived
