,distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
4,7,4,AOR,assignment,Unknown,5,COD,return,bool,5,killed
5,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,6,killed
7,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,8,killed
60,10,4,AOR,assignment,Unknown,8,CRP,conditional,Unknown,61,killed
61,9,4,AOR,assignment,Unknown,7,CRP,conditional,Unknown,62,killed
62,9,4,AOR,assignment,Unknown,7,CRP,conditional,Unknown,63,killed
64,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,65,killed
65,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,66,killed
66,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,67,killed
67,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,68,killed
113,8,4,AOR,assignment,Unknown,6,ROR,conditional,bool,114,killed
114,8,4,AOR,assignment,Unknown,6,ROR,conditional,bool,115,killed
116,7,4,AOR,assignment,Unknown,5,ROR,conditional,bool,117,killed
127,8,4,AOR,assignment,Unknown,6,COD,conditional,bool,128,killed
128,7,4,AOR,assignment,Unknown,5,COD,return,bool,129,killed
129,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,130,killed
130,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,131,killed
131,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,132,killed
133,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,134,survived
135,7,4,AOR,assignment,Unknown,5,COI,conditional,bool,136,killed
139,7,4,AOR,assignment,Unknown,5,COI,conditional,bool,140,killed
140,8,4,AOR,assignment,Unknown,6,COI,conditional,bool,141,killed
141,9,4,AOR,assignment,Unknown,7,COI,conditional,bool,142,killed
142,10,4,AOR,assignment,Unknown,8,COI,conditional,bool,143,killed
143,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,144,killed
144,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,145,killed
145,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,146,killed
146,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,147,killed
147,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,148,killed
148,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,149,killed
149,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,150,killed
150,6,4,AOR,assignment,Unknown,4,COI,conditional,bool,151,killed
151,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,152,survived
152,5,4,AOR,assignment,Unknown,3,COI,conditional,bool,153,survived
153,7,4,AOR,assignment,Unknown,5,COI,conditional,bool,154,survived
155,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,156,survived
156,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,157,survived
157,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,158,survived
158,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,159,survived
159,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,160,survived
160,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,161,survived
161,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,162,survived
162,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,163,survived
163,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,164,survived
164,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,165,survived
165,2,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,166,survived
166,2,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,167,survived
167,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,168,survived
168,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,169,survived
169,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,170,survived
170,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,171,survived
171,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,172,survived
172,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,173,survived
173,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,174,survived
174,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,175,survived
175,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,176,killed
176,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,177,killed
177,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,178,survived
178,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,179,survived
179,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,180,survived
180,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,181,survived
181,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,182,survived
182,6,4,AOR,assignment,Unknown,4,CRP,assignment,Unknown,183,survived
183,10,4,AOR,assignment,Unknown,8,CRP,conditional,Unknown,184,killed
184,10,4,AOR,assignment,Unknown,8,CRP,conditional,Unknown,185,killed
185,9,4,AOR,assignment,Unknown,7,CRP,conditional,Unknown,186,killed
186,9,4,AOR,assignment,Unknown,7,CRP,conditional,Unknown,187,killed
187,8,4,AOR,assignment,Unknown,6,CRP,conditional,Unknown,188,survived
188,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,189,killed
189,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,190,killed
190,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,191,killed
191,8,4,AOR,assignment,Unknown,6,CRP,method,Unknown,192,killed
192,8,4,AOR,assignment,Unknown,6,CRP,assignment,Unknown,193,survived
