,distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
0,13,8,AOD,assignment,Unknown,7,AOD,conditional,Unknown,1,killed
1,13,8,AOD,assignment,Unknown,7,AOD,assignment,Unknown,2,killed
2,7,8,AOD,assignment,Unknown,7,AOR,assignment,Unknown,3,survived
3,14,8,AOD,assignment,Unknown,8,AOR,conditional,Unknown,4,killed
4,14,8,AOD,assignment,Unknown,8,AOR,assignment,Unknown,5,killed
5,7,8,AOD,assignment,Unknown,5,BCR,loop,Unknown,6,survived
6,12,8,AOD,assignment,Unknown,6,COD,conditional,bool,7,killed
7,13,8,AOD,assignment,Unknown,7,COD,conditional,bool,8,killed
8,10,8,AOD,assignment,Unknown,4,COD,conditional,bool,9,killed
9,10,8,AOD,assignment,Unknown,4,COD,conditional,bool,10,killed
10,10,8,AOD,assignment,Unknown,4,COD,conditional,bool,11,killed
11,10,8,AOD,assignment,Unknown,4,COD,conditional,bool,12,killed
12,11,8,AOD,assignment,Unknown,5,COI,conditional,bool,13,killed
13,12,8,AOD,assignment,Unknown,6,COI,conditional,bool,14,killed
14,10,8,AOD,assignment,Unknown,4,COI,conditional,bool,15,killed
15,12,8,AOD,assignment,Unknown,6,COI,conditional,bool,16,survived
16,13,8,AOD,assignment,Unknown,7,COI,conditional,bool,17,killed
17,13,8,AOD,assignment,Unknown,7,COI,conditional,bool,18,survived
18,7,8,AOD,assignment,Unknown,3,COI,conditional,bool,19,survived
19,6,8,AOD,assignment,Unknown,4,COI,conditional,bool,20,survived
20,6,8,AOD,assignment,Unknown,4,COI,conditional,bool,21,survived
21,9,8,AOD,assignment,Unknown,3,COI,conditional,bool,22,killed
22,9,8,AOD,assignment,Unknown,3,COI,conditional,bool,23,killed
23,9,8,AOD,assignment,Unknown,3,COI,conditional,bool,24,killed
24,9,8,AOD,assignment,Unknown,3,COI,conditional,bool,25,killed
25,9,8,AOD,assignment,Unknown,3,COI,conditional,bool,26,killed
26,9,8,AOD,assignment,Unknown,3,COI,conditional,bool,27,killed
27,10,8,AOD,assignment,Unknown,4,COI,conditional,bool,28,killed
28,10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,29,survived
29,10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,30,survived
30,10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,31,survived
31,10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,32,survived
32,10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,33,survived
33,10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,34,survived
34,10,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,35,killed
35,10,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,36,killed
36,13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,37,killed
37,13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,38,killed
38,13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,39,killed
39,13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,40,killed
40,15,8,AOD,assignment,Unknown,9,CRP,assignment,Unknown,41,survived
41,14,8,AOD,assignment,Unknown,8,CRP,method,Unknown,42,survived
42,14,8,AOD,assignment,Unknown,8,CRP,method,Unknown,43,survived
43,12,8,AOD,assignment,Unknown,6,CRP,method,Unknown,44,survived
44,12,8,AOD,assignment,Unknown,6,CRP,method,Unknown,45,survived
45,8,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,46,survived
46,8,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,47,survived
47,8,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,48,survived
48,6,8,AOD,assignment,Unknown,4,CRP,conditional,Unknown,49,survived
49,9,8,AOD,assignment,Unknown,7,CRP,conditional,Unknown,50,survived
50,9,8,AOD,assignment,Unknown,7,CRP,conditional,Unknown,51,survived
