,distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
0,3,12,AOR,method,Unknown,11,AOR,method,Unknown,1,survived
1,4,12,AOR,method,Unknown,10,AOR,method,Unknown,2,survived
2,16,12,AOR,method,Unknown,8,AOR,method,Unknown,3,survived
3,14,12,AOR,method,Unknown,6,AOR,assignment,Unknown,4,survived
4,15,12,AOR,method,Unknown,7,AOR,method,Unknown,5,survived
5,11,12,AOR,method,Unknown,3,COI,conditional,bool,6,survived
6,9,12,AOR,method,Unknown,7,COI,conditional,bool,7,survived
8,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,9,survived
9,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,10,survived
10,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,11,survived
11,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,12,survived
12,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,13,survived
13,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,14,survived
14,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,15,survived
15,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,16,survived
16,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,17,killed
17,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,18,killed
18,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,19,survived
19,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,20,survived
20,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,21,survived
21,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,22,survived
22,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,23,survived
23,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,24,survived
24,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,25,survived
25,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,26,survived
26,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,27,survived
27,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,28,survived
28,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,29,survived
29,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,30,survived
30,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,31,survived
31,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,32,survived
32,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,33,survived
33,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,34,survived
34,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,35,survived
35,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,36,survived
36,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,37,survived
37,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,38,survived
38,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,39,survived
39,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,40,survived
40,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,41,survived
41,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,42,survived
42,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,43,survived
43,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,44,survived
44,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,45,survived
45,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,46,survived
46,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,47,survived
47,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,48,survived
48,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,49,survived
49,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,50,survived
50,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,51,survived
51,14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,52,survived
