,distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
0,15,10,AOD,conditional,Unknown,9,AOD,conditional,Unknown,1,killed
1,15,10,AOD,conditional,Unknown,7,AOD,assignment,Unknown,2,killed
2,15,10,AOD,conditional,Unknown,7,AOD,assignment,Unknown,3,killed
3,14,10,AOD,conditional,Unknown,6,AOD,assignment,Unknown,4,killed
4,16,10,AOD,conditional,Unknown,8,AOD,assignment,Unknown,5,killed
5,12,10,AOD,conditional,Unknown,6,AOR,return,Unknown,6,killed
7,14,10,AOD,conditional,Unknown,8,AOR,method,Unknown,8,killed
8,13,10,AOD,conditional,Unknown,7,AOR,method,Unknown,9,killed
9,16,10,AOD,conditional,Unknown,10,AOR,conditional,Unknown,10,killed
10,13,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,11,killed
11,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,12,killed
12,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,13,killed
13,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,14,killed
14,17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,15,killed
15,18,10,AOD,conditional,Unknown,10,AOR,assignment,Unknown,16,killed
16,17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,17,killed
17,17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,18,killed
18,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,19,killed
19,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,20,killed
20,17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,21,killed
21,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,22,killed
22,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,23,killed
23,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,24,killed
24,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,25,killed
25,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,26,killed
26,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,27,killed
27,17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,28,killed
28,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,29,killed
29,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,30,killed
30,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,31,killed
31,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,32,killed
32,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,33,killed
33,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,34,killed
34,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,35,killed
35,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,36,killed
36,17,10,AOD,conditional,Unknown,9,AOR,method,Unknown,37,killed
37,14,10,AOD,conditional,Unknown,6,AOR,assignment,Unknown,38,killed
38,17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,39,killed
39,16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,40,killed
40,15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,41,killed
41,14,10,AOD,conditional,Unknown,6,AOR,assignment,Unknown,42,killed
42,10,10,AOD,conditional,Unknown,6,COD,conditional,bool,43,killed
43,10,10,AOD,conditional,Unknown,6,COD,conditional,bool,44,killed
44,10,10,AOD,conditional,Unknown,6,COD,conditional,bool,45,killed
45,12,10,AOD,conditional,Unknown,6,COD,conditional,bool,46,killed
46,12,10,AOD,conditional,Unknown,6,COD,conditional,bool,47,killed
47,12,10,AOD,conditional,Unknown,6,COD,conditional,bool,48,killed
48,11,10,AOD,conditional,Unknown,5,COD,conditional,bool,49,killed
49,11,10,AOD,conditional,Unknown,5,COD,conditional,bool,50,killed
50,12,10,AOD,conditional,Unknown,4,COD,conditional,bool,51,killed
51,13,10,AOD,conditional,Unknown,5,COD,conditional,bool,52,killed
52,13,10,AOD,conditional,Unknown,5,COD,conditional,bool,53,killed
53,8,10,AOD,conditional,Unknown,4,COI,conditional,bool,54,killed
54,8,10,AOD,conditional,Unknown,4,COI,conditional,bool,55,killed
55,8,10,AOD,conditional,Unknown,4,COI,conditional,bool,56,killed
56,8,10,AOD,conditional,Unknown,4,COI,conditional,bool,57,killed
57,8,10,AOD,conditional,Unknown,4,COI,conditional,bool,58,killed
58,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,59,killed
59,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,60,killed
60,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,61,killed
61,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,62,killed
62,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,63,killed
63,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,64,killed
64,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,65,killed
65,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,66,killed
66,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,67,killed
67,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,68,killed
68,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,69,killed
69,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,70,killed
70,10,10,AOD,conditional,Unknown,4,COI,conditional,bool,71,killed
71,11,10,AOD,conditional,Unknown,3,COI,conditional,bool,72,killed
72,11,10,AOD,conditional,Unknown,3,COI,conditional,bool,73,killed
73,11,10,AOD,conditional,Unknown,3,COI,conditional,bool,74,killed
74,12,10,AOD,conditional,Unknown,4,COI,conditional,bool,75,killed
75,12,10,AOD,conditional,Unknown,4,COI,conditional,bool,76,killed
76,12,10,AOD,conditional,Unknown,4,COI,conditional,bool,77,killed
77,12,10,AOD,conditional,Unknown,4,COI,conditional,bool,78,killed
78,12,10,AOD,conditional,Unknown,4,COI,conditional,bool,79,killed
79,12,10,AOD,conditional,Unknown,4,COI,conditional,bool,80,killed
80,13,10,AOD,conditional,Unknown,5,COI,conditional,bool,81,killed
81,15,10,AOD,conditional,Unknown,7,COI,conditional,bool,82,killed
82,11,10,AOD,conditional,Unknown,3,COI,conditional,bool,83,killed
83,12,10,AOD,conditional,Unknown,4,CRP,assignment,Unknown,84,killed
84,12,10,AOD,conditional,Unknown,4,CRP,assignment,Unknown,85,killed
85,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,86,killed
86,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,87,killed
87,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,88,killed
88,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,89,killed
89,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,90,killed
90,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,91,killed
91,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,92,killed
92,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,93,killed
93,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,94,killed
94,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,95,killed
95,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,96,killed
96,11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,97,killed
97,11,10,AOD,conditional,Unknown,5,CRP,assignment,Unknown,98,killed
98,12,10,AOD,conditional,Unknown,6,CRP,return,Unknown,99,killed
99,12,10,AOD,conditional,Unknown,6,CRP,return,Unknown,100,killed
100,11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,101,killed
101,11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,102,killed
102,11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,103,killed
105,11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,106,killed
