distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
3,8,AOR,assignment,Unknown,7,AOR,assignment,Unknown,1,survived
9,8,AOR,assignment,Unknown,9,AOR,return,Unknown,2,survived
8,8,AOR,assignment,Unknown,8,AOR,return,Unknown,3,survived
7,8,AOR,assignment,Unknown,7,BCR,loop,Unknown,4,survived
12,8,AOR,assignment,Unknown,6,COD,conditional,bool,5,killed
12,8,AOR,assignment,Unknown,6,COD,conditional,bool,6,killed
10,8,AOR,assignment,Unknown,4,COI,conditional,bool,7,survived
9,8,AOR,assignment,Unknown,3,COI,conditional,bool,8,survived
10,8,AOR,assignment,Unknown,4,COI,conditional,bool,9,survived
9,8,AOR,assignment,Unknown,3,COI,conditional,bool,10,killed
9,8,AOR,assignment,Unknown,3,COI,conditional,bool,11,killed
10,8,AOR,assignment,Unknown,4,COI,conditional,bool,12,killed
12,8,AOR,assignment,Unknown,6,COI,conditional,bool,13,killed
11,8,AOR,assignment,Unknown,5,COI,conditional,bool,14,killed
10,8,AOR,assignment,Unknown,4,COI,conditional,bool,15,killed
12,8,AOR,assignment,Unknown,6,COI,conditional,bool,16,killed
11,8,AOR,assignment,Unknown,5,COI,conditional,bool,17,killed
9,8,AOR,assignment,Unknown,3,COI,conditional,bool,18,survived
9,8,AOR,assignment,Unknown,3,COI,conditional,bool,19,survived
11,8,AOR,assignment,Unknown,5,COI,conditional,bool,20,survived
10,8,AOR,assignment,Unknown,4,CRP,assignment,Unknown,21,survived
10,8,AOR,assignment,Unknown,4,CRP,assignment,Unknown,22,survived
10,8,AOR,assignment,Unknown,4,CRP,assignment,Unknown,23,survived
10,8,AOR,assignment,Unknown,4,CRP,assignment,Unknown,24,survived
10,8,AOR,assignment,Unknown,4,CRP,assignment,Unknown,25,survived
10,8,AOR,assignment,Unknown,4,CRP,assignment,Unknown,26,survived
9,8,AOR,assignment,Unknown,3,CRP,assignment,Unknown,27,survived
9,8,AOR,assignment,Unknown,3,CRP,assignment,Unknown,28,survived
9,8,AOR,assignment,Unknown,3,CRP,assignment,Unknown,29,survived
9,8,AOR,assignment,Unknown,3,CRP,assignment,Unknown,30,killed
6,8,AOR,assignment,Unknown,4,CRP,loop,Unknown,31,survived
6,8,AOR,assignment,Unknown,4,CRP,loop,Unknown,32,survived
5,8,AOR,assignment,Unknown,5,CRP,loop,Unknown,33,survived
5,8,AOR,assignment,Unknown,5,CRP,loop,Unknown,34,survived
2,8,AOR,assignment,Unknown,8,CRP,assignment,Unknown,35,survived
2,8,AOR,assignment,Unknown,8,CRP,assignment,Unknown,36,survived
9,8,AOR,assignment,Unknown,9,CRP,return,Unknown,37,survived
9,8,AOR,assignment,Unknown,9,CRP,return,Unknown,38,survived
9,8,AOR,assignment,Unknown,5,CRP,method,Unknown,39,survived
9,8,AOR,assignment,Unknown,5,CRP,method,Unknown,40,survived
12,8,AOR,assignment,Unknown,6,CRP,method,Unknown,41,survived
12,8,AOR,assignment,Unknown,6,CRP,method,Unknown,42,survived
12,8,AOR,assignment,Unknown,6,CRP,method,Unknown,43,survived
12,8,AOR,assignment,Unknown,6,CRP,method,Unknown,44,survived
11,8,AOR,assignment,Unknown,5,CRP,method,Unknown,45,survived
12,8,AOR,assignment,Unknown,6,CRP,method,Unknown,46,survived
14,8,AOR,assignment,Unknown,8,CRP,method,Unknown,47,survived
11,8,AOR,assignment,Unknown,5,CRP,assignment,Unknown,48,survived
12,8,AOR,assignment,Unknown,6,CRP,assignment,Unknown,49,survived
12,8,AOR,assignment,Unknown,6,CRP,method,Unknown,50,survived
12,8,AOR,assignment,Unknown,6,CRP,return,Unknown,51,survived
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,52,survived
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,53,survived
6,8,AOR,assignment,Unknown,6,EHD,loop,Unknown,54,survived
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,55,killed
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,56,survived
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,57,survived
12,8,AOR,assignment,Unknown,6,EHD,unknow,Unknown,58,killed
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,59,survived
10,8,AOR,assignment,Unknown,4,EHD,unknow,Unknown,60,survived
6,8,AOR,assignment,Unknown,6,EXS,loop,Unknown,61,survived
10,8,AOR,assignment,Unknown,4,EXS,unknow,Unknown,62,killed
10,8,AOR,assignment,Unknown,4,EXS,unknow,Unknown,63,survived
10,8,AOR,assignment,Unknown,4,EXS,unknow,Unknown,64,survived
12,8,AOR,assignment,Unknown,6,ROR,conditional,bool,65,survived
11,8,AOR,assignment,Unknown,5,ROR,conditional,bool,66,survived
12,8,AOR,assignment,Unknown,6,ROR,conditional,bool,67,survived
12,8,AOR,assignment,Unknown,6,ROR,conditional,bool,68,survived
11,8,AOR,assignment,Unknown,5,ROR,conditional,bool,69,survived
11,8,AOR,assignment,Unknown,5,ROR,conditional,bool,70,survived
12,8,AOR,assignment,Unknown,6,SIR,assignment,Unknown,71,timeout
8,7,AOR,assignment,Unknown,9,AOR,return,Unknown,72,survived
7,7,AOR,assignment,Unknown,8,AOR,return,Unknown,73,survived
6,7,AOR,assignment,Unknown,7,BCR,loop,Unknown,74,survived
11,7,AOR,assignment,Unknown,6,COD,conditional,bool,75,killed
