distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
12,9,AOD,conditional,Unknown,11,AOD,method,Unknown,1,killed
13,9,AOD,conditional,Unknown,12,AOD,method,Unknown,2,killed
13,9,AOD,conditional,Unknown,8,AOD,conditional,Unknown,3,killed
13,9,AOD,conditional,Unknown,8,AOD,assignment,Unknown,4,killed
12,9,AOD,conditional,Unknown,5,AOR,return,Unknown,5,timeout
17,9,AOD,conditional,Unknown,10,AOR,method,Unknown,6,timeout
17,9,AOD,conditional,Unknown,10,AOR,method,Unknown,7,killed
17,9,AOD,conditional,Unknown,10,AOR,method,Unknown,8,killed
13,9,AOD,conditional,Unknown,12,AOR,method,Unknown,9,killed
10,9,AOD,conditional,Unknown,9,AOR,method,Unknown,10,killed
14,9,AOD,conditional,Unknown,13,AOR,method,Unknown,11,killed
9,9,AOD,conditional,Unknown,8,AOR,method,Unknown,12,killed
10,9,AOD,conditional,Unknown,9,AOR,method,Unknown,13,killed
10,9,AOD,conditional,Unknown,9,AOR,method,Unknown,14,timeout
14,9,AOD,conditional,Unknown,9,AOR,conditional,Unknown,15,killed
14,9,AOD,conditional,Unknown,9,AOR,assignment,Unknown,16,killed
15,9,AOD,conditional,Unknown,10,AOR,method,Unknown,17,killed
14,9,AOD,conditional,Unknown,9,AOR,assignment,Unknown,18,killed
17,9,AOD,conditional,Unknown,10,AOR,conditional,Unknown,19,killed
14,9,AOD,conditional,Unknown,7,AOR,assignment,Unknown,20,killed
18,9,AOD,conditional,Unknown,11,AOR,conditional,Unknown,21,killed
15,9,AOD,conditional,Unknown,8,AOR,assignment,Unknown,22,killed
16,9,AOD,conditional,Unknown,9,AOR,assignment,Unknown,23,killed
15,9,AOD,conditional,Unknown,8,AOR,assignment,Unknown,24,timeout
15,9,AOD,conditional,Unknown,8,AOR,assignment,Unknown,25,timeout
16,9,AOD,conditional,Unknown,9,AOR,assignment,Unknown,26,timeout
16,9,AOD,conditional,Unknown,9,AOR,assignment,Unknown,27,timeout
18,9,AOD,conditional,Unknown,11,AOR,conditional,Unknown,28,killed
19,9,AOD,conditional,Unknown,12,AOR,conditional,Unknown,29,killed
21,9,AOD,conditional,Unknown,14,AOR,conditional,Unknown,30,killed
21,9,AOD,conditional,Unknown,14,AOR,conditional,Unknown,31,killed
18,9,AOD,conditional,Unknown,11,AOR,assignment,Unknown,32,timeout
18,9,AOD,conditional,Unknown,11,AOR,assignment,Unknown,33,timeout
20,9,AOD,conditional,Unknown,13,AOR,conditional,Unknown,34,killed
22,9,AOD,conditional,Unknown,15,AOR,method,Unknown,35,killed
22,9,AOD,conditional,Unknown,15,AOR,method,Unknown,36,killed
22,9,AOD,conditional,Unknown,15,AOR,method,Unknown,37,killed
22,9,AOD,conditional,Unknown,15,AOR,method,Unknown,38,killed
19,9,AOD,conditional,Unknown,12,AOR,assignment,Unknown,39,timeout
25,9,AOD,conditional,Unknown,18,AOR,method,Unknown,40,killed
25,9,AOD,conditional,Unknown,18,AOR,method,Unknown,41,killed
19,9,AOD,conditional,Unknown,12,AOR,assignment,Unknown,42,timeout
19,9,AOD,conditional,Unknown,12,AOR,assignment,Unknown,43,killed
19,9,AOD,conditional,Unknown,12,AOR,assignment,Unknown,44,killed
15,9,AOD,conditional,Unknown,8,AOR,method,Unknown,45,timeout
15,9,AOD,conditional,Unknown,8,AOR,assignment,Unknown,46,killed
16,9,AOD,conditional,Unknown,9,AOR,assignment,Unknown,47,killed
16,9,AOD,conditional,Unknown,9,AOR,loop,Unknown,48,killed
14,9,AOD,conditional,Unknown,7,AOR,assignment,Unknown,49,timeout
14,9,AOD,conditional,Unknown,7,AOR,assignment,Unknown,50,killed
14,9,AOD,conditional,Unknown,7,AOR,assignment,Unknown,51,killed
13,9,AOD,conditional,Unknown,6,AOR,assignment,Unknown,52,killed
14,9,AOD,conditional,Unknown,7,AOR,assignment,Unknown,53,killed
17,9,AOD,conditional,Unknown,10,AOR,method,Unknown,54,killed
10,9,AOD,conditional,Unknown,5,BCR,loop,Unknown,55,timeout
12,9,AOD,conditional,Unknown,5,BCR,loop,Unknown,56,timeout
15,9,AOD,conditional,Unknown,8,BCR,loop,Unknown,57,killed
14,9,AOD,conditional,Unknown,7,BCR,loop,Unknown,58,killed
12,9,AOD,conditional,Unknown,5,COD,return,bool,59,killed
10,9,AOD,conditional,Unknown,5,COD,conditional,bool,60,killed
12,9,AOD,conditional,Unknown,5,COD,conditional,bool,61,killed
16,9,AOD,conditional,Unknown,9,COD,conditional,bool,62,killed
12,9,AOD,conditional,Unknown,5,COD,conditional,bool,63,killed
11,9,AOD,conditional,Unknown,4,COD,conditional,bool,64,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,65,killed
12,9,AOD,conditional,Unknown,5,COI,conditional,bool,66,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,67,killed
8,9,AOD,conditional,Unknown,3,COI,conditional,bool,68,timeout
4,9,AOD,conditional,Unknown,7,COI,conditional,bool,69,killed
6,9,AOD,conditional,Unknown,5,COI,conditional,bool,70,killed
8,9,AOD,conditional,Unknown,3,COI,conditional,bool,71,killed
9,9,AOD,conditional,Unknown,4,COI,conditional,bool,72,killed
9,9,AOD,conditional,Unknown,4,COI,conditional,bool,73,killed
10,9,AOD,conditional,Unknown,5,COI,conditional,bool,74,killed
10,9,AOD,conditional,Unknown,5,COI,conditional,bool,75,killed
9,9,AOD,conditional,Unknown,4,COI,conditional,bool,76,timeout
9,9,AOD,conditional,Unknown,4,COI,conditional,bool,77,timeout
8,9,AOD,conditional,Unknown,3,COI,conditional,bool,78,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,79,timeout
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,80,timeout
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,81,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,82,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,83,killed
12,9,AOD,conditional,Unknown,5,COI,conditional,bool,84,timeout
15,9,AOD,conditional,Unknown,8,COI,conditional,bool,85,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,86,killed
12,9,AOD,conditional,Unknown,5,COI,conditional,bool,87,killed
13,9,AOD,conditional,Unknown,6,COI,conditional,bool,88,killed
14,9,AOD,conditional,Unknown,7,COI,conditional,bool,89,killed
15,9,AOD,conditional,Unknown,8,COI,conditional,bool,90,killed
16,9,AOD,conditional,Unknown,9,COI,conditional,bool,91,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,92,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,93,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,94,timeout
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,95,killed
12,9,AOD,conditional,Unknown,5,COI,conditional,bool,96,killed
13,9,AOD,conditional,Unknown,6,COI,conditional,bool,97,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,98,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,99,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,100,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,101,killed
11,9,AOD,conditional,Unknown,4,COI,conditional,bool,102,killed
12,9,AOD,conditional,Unknown,5,COI,conditional,bool,103,killed
12,9,AOD,conditional,Unknown,5,COI,conditional,bool,104,killed
10,9,AOD,conditional,Unknown,3,COI,conditional,bool,105,killed
9,9,AOD,conditional,Unknown,2,COI,conditional,bool,106,incompetent
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,107,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,108,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,109,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,110,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,111,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,112,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,113,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,114,killed
10,9,AOD,conditional,Unknown,3,CRP,assignment,Unknown,115,killed
13,9,AOD,conditional,Unknown,6,CRP,conditional,Unknown,116,killed
17,9,AOD,conditional,Unknown,10,CRP,method,Unknown,117,killed
17,9,AOD,conditional,Unknown,10,CRP,method,Unknown,118,killed
13,9,AOD,conditional,Unknown,12,CRP,method,Unknown,119,killed
14,9,AOD,conditional,Unknown,13,CRP,method,Unknown,120,killed
9,9,AOD,conditional,Unknown,4,CRP,conditional,Unknown,121,killed
14,9,AOD,conditional,Unknown,9,CRP,conditional,Unknown,122,killed
14,9,AOD,conditional,Unknown,9,CRP,assignment,Unknown,123,killed
15,9,AOD,conditional,Unknown,10,CRP,method,Unknown,124,killed
14,9,AOD,conditional,Unknown,9,CRP,assignment,Unknown,125,killed
11,9,AOD,conditional,Unknown,4,CRP,conditional,Unknown,126,killed
13,9,AOD,conditional,Unknown,6,CRP,assignment,Unknown,127,killed
14,9,AOD,conditional,Unknown,7,CRP,conditional,Unknown,128,killed
17,9,AOD,conditional,Unknown,10,CRP,conditional,Unknown,129,killed
13,9,AOD,conditional,Unknown,6,CRP,assignment,Unknown,130,killed
14,9,AOD,conditional,Unknown,7,CRP,assignment,Unknown,131,killed
15,9,AOD,conditional,Unknown,8,CRP,conditional,Unknown,132,killed
18,9,AOD,conditional,Unknown,11,CRP,conditional,Unknown,133,killed
15,9,AOD,conditional,Unknown,8,CRP,assignment,Unknown,134,killed
13,9,AOD,conditional,Unknown,6,CRP,assignment,Unknown,135,killed
16,9,AOD,conditional,Unknown,9,CRP,assignment,Unknown,136,killed
15,9,AOD,conditional,Unknown,8,CRP,assignment,Unknown,137,killed
16,9,AOD,conditional,Unknown,9,CRP,assignment,Unknown,138,killed
18,9,AOD,conditional,Unknown,11,CRP,conditional,Unknown,139,killed
16,9,AOD,conditional,Unknown,9,CRP,assignment,Unknown,140,killed
19,9,AOD,conditional,Unknown,12,CRP,conditional,Unknown,141,killed
21,9,AOD,conditional,Unknown,14,CRP,conditional,Unknown,142,killed
21,9,AOD,conditional,Unknown,14,CRP,conditional,Unknown,143,killed
18,9,AOD,conditional,Unknown,11,CRP,assignment,Unknown,144,killed
20,9,AOD,conditional,Unknown,13,CRP,conditional,Unknown,145,killed
22,9,AOD,conditional,Unknown,15,CRP,method,Unknown,146,killed
22,9,AOD,conditional,Unknown,15,CRP,method,Unknown,147,killed
22,9,AOD,conditional,Unknown,15,CRP,method,Unknown,148,killed
22,9,AOD,conditional,Unknown,15,CRP,method,Unknown,149,killed
25,9,AOD,conditional,Unknown,18,CRP,method,Unknown,150,killed
25,9,AOD,conditional,Unknown,18,CRP,method,Unknown,151,killed
19,9,AOD,conditional,Unknown,12,CRP,assignment,Unknown,152,killed
19,9,AOD,conditional,Unknown,12,CRP,assignment,Unknown,153,killed
11,9,AOD,conditional,Unknown,4,CRP,assignment,Unknown,154,killed
14,9,AOD,conditional,Unknown,7,CRP,method,Unknown,155,timeout
14,9,AOD,conditional,Unknown,7,CRP,method,Unknown,156,timeout
