distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
12,9,AOD,loop,Unknown,5,AOR,assignment,Unknown,1,incompetent
15,9,AOD,loop,Unknown,10,AOR,assignment,Unknown,2,timeout
11,9,AOD,loop,Unknown,6,BCR,loop,Unknown,3,timeout
11,9,AOD,loop,Unknown,6,BCR,loop,Unknown,4,timeout
11,9,AOD,loop,Unknown,4,COD,conditional,bool,5,survived
11,9,AOD,loop,Unknown,4,COD,conditional,bool,6,timeout
12,9,AOD,loop,Unknown,5,COD,conditional,bool,7,timeout
11,9,AOD,loop,Unknown,6,COD,conditional,bool,8,timeout
10,9,AOD,loop,Unknown,3,COI,conditional,bool,9,timeout
10,9,AOD,loop,Unknown,3,COI,conditional,bool,10,survived
10,9,AOD,loop,Unknown,3,COI,conditional,bool,11,survived
11,9,AOD,loop,Unknown,4,COI,conditional,bool,12,timeout
10,9,AOD,loop,Unknown,3,COI,conditional,bool,13,survived
10,9,AOD,loop,Unknown,3,COI,conditional,bool,14,timeout
11,9,AOD,loop,Unknown,4,COI,conditional,bool,15,timeout
10,9,AOD,loop,Unknown,3,COI,conditional,bool,16,timeout
7,9,AOD,loop,Unknown,4,COI,conditional,bool,17,timeout
9,9,AOD,loop,Unknown,4,COI,conditional,bool,18,timeout
10,9,AOD,loop,Unknown,5,COI,conditional,bool,19,timeout
10,9,AOD,loop,Unknown,5,COI,conditional,bool,20,timeout
10,9,AOD,loop,Unknown,5,COI,conditional,bool,21,timeout
10,9,AOD,loop,Unknown,5,COI,conditional,bool,22,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,23,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,24,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,25,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,26,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,27,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,28,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,29,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,30,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,31,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,32,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,33,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,34,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,35,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,36,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,37,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,38,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,39,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,40,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,41,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,42,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,43,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,44,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,45,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,46,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,47,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,48,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,49,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,50,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,51,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,52,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,53,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,54,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,55,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,56,timeout
11,9,AOD,loop,Unknown,4,CRP,assignment,Unknown,57,timeout
