distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
12,8,AOD,assignment,Unknown,8,AOR,method,Unknown,1,survived
13,8,AOD,assignment,Unknown,9,AOR,method,Unknown,2,survived
13,8,AOD,assignment,Unknown,9,AOR,method,Unknown,3,survived
12,8,AOD,assignment,Unknown,8,AOR,method,Unknown,4,survived
13,8,AOD,assignment,Unknown,9,AOR,method,Unknown,5,survived
13,8,AOD,assignment,Unknown,9,AOR,method,Unknown,6,survived
13,8,AOD,assignment,Unknown,9,AOR,method,Unknown,7,survived
13,8,AOD,assignment,Unknown,9,AOR,method,Unknown,8,survived
10,8,AOD,assignment,Unknown,6,AOR,return,Unknown,9,survived
12,8,AOD,assignment,Unknown,6,AOR,return,Unknown,10,timeout
11,8,AOD,assignment,Unknown,5,AOR,return,Unknown,11,timeout
13,8,AOD,assignment,Unknown,7,AOR,method,Unknown,12,survived
10,8,AOD,assignment,Unknown,6,ASR,assignment,Unknown,13,timeout
10,8,AOD,assignment,Unknown,6,ASR,assignment,Unknown,14,timeout
11,8,AOD,assignment,Unknown,7,ASR,assignment,Unknown,15,survived
15,8,AOD,assignment,Unknown,11,ASR,assignment,Unknown,16,survived
15,8,AOD,assignment,Unknown,11,ASR,assignment,Unknown,17,timeout
15,8,AOD,assignment,Unknown,11,ASR,assignment,Unknown,18,timeout
15,8,AOD,assignment,Unknown,11,ASR,assignment,Unknown,19,timeout
14,8,AOD,assignment,Unknown,10,ASR,assignment,Unknown,20,timeout
18,8,AOD,assignment,Unknown,14,ASR,assignment,Unknown,21,survived
20,8,AOD,assignment,Unknown,16,ASR,assignment,Unknown,22,timeout
22,8,AOD,assignment,Unknown,18,ASR,assignment,Unknown,23,timeout
10,8,AOD,assignment,Unknown,6,BCR,loop,Unknown,24,timeout
12,8,AOD,assignment,Unknown,8,BCR,loop,Unknown,25,survived
14,8,AOD,assignment,Unknown,10,BCR,loop,Unknown,26,survived
14,8,AOD,assignment,Unknown,10,BCR,loop,Unknown,27,killed
20,8,AOD,assignment,Unknown,16,BCR,loop,Unknown,28,killed
20,8,AOD,assignment,Unknown,16,BCR,loop,Unknown,29,survived
14,8,AOD,assignment,Unknown,10,BCR,loop,Unknown,30,killed
15,8,AOD,assignment,Unknown,11,BCR,loop,Unknown,31,killed
17,8,AOD,assignment,Unknown,13,BCR,loop,Unknown,32,killed
17,8,AOD,assignment,Unknown,13,BCR,loop,Unknown,33,survived
19,8,AOD,assignment,Unknown,15,BCR,loop,Unknown,34,killed
19,8,AOD,assignment,Unknown,15,BCR,loop,Unknown,35,survived
19,8,AOD,assignment,Unknown,15,BCR,loop,Unknown,36,killed
22,8,AOD,assignment,Unknown,18,BCR,loop,Unknown,37,killed
22,8,AOD,assignment,Unknown,18,BCR,loop,Unknown,38,survived
11,8,AOD,assignment,Unknown,5,BCR,loop,Unknown,39,survived
9,8,AOD,assignment,Unknown,5,COD,conditional,bool,40,timeout
10,8,AOD,assignment,Unknown,6,COD,conditional,bool,41,killed
12,8,AOD,assignment,Unknown,8,COD,conditional,bool,42,killed
19,8,AOD,assignment,Unknown,15,COD,conditional,bool,43,killed
13,8,AOD,assignment,Unknown,9,COD,conditional,bool,44,killed
14,8,AOD,assignment,Unknown,10,COD,conditional,bool,45,killed
14,8,AOD,assignment,Unknown,10,COD,conditional,bool,46,killed
15,8,AOD,assignment,Unknown,11,COD,conditional,bool,47,killed
21,8,AOD,assignment,Unknown,17,COD,conditional,bool,48,killed
10,8,AOD,assignment,Unknown,6,COD,conditional,bool,49,killed
8,8,AOD,assignment,Unknown,6,COD,conditional,bool,50,survived
10,8,AOD,assignment,Unknown,4,COD,conditional,bool,51,killed
10,8,AOD,assignment,Unknown,4,COD,conditional,bool,52,killed
11,8,AOD,assignment,Unknown,5,COD,conditional,bool,53,survived
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,54,timeout
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,55,killed
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,56,killed
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,57,killed
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,58,timeout
9,8,AOD,assignment,Unknown,5,COI,conditional,bool,59,timeout
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,60,killed
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,61,survived
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,62,survived
8,8,AOD,assignment,Unknown,4,COI,conditional,bool,63,survived
