distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
6,7,AOR,conditional,Unknown,7,AOR,conditional,Unknown,1,killed
6,7,AOR,conditional,Unknown,7,AOR,conditional,Unknown,2,killed
9,7,AOR,conditional,Unknown,6,COD,conditional,bool,3,killed
9,7,AOR,conditional,Unknown,6,COD,conditional,bool,4,killed
7,7,AOR,conditional,Unknown,4,COI,conditional,bool,5,killed
7,7,AOR,conditional,Unknown,4,COI,conditional,bool,6,killed
9,7,AOR,conditional,Unknown,6,CRP,conditional,Unknown,7,killed
9,7,AOR,conditional,Unknown,6,LCR,conditional,bool,8,killed
4,7,AOR,conditional,Unknown,5,LCR,return,bool,9,killed
9,7,AOR,conditional,Unknown,6,ROR,conditional,bool,10,killed
9,7,AOR,conditional,Unknown,6,ROR,conditional,bool,11,killed
3,7,AOR,conditional,Unknown,6,ROR,conditional,bool,12,killed
3,7,AOR,conditional,Unknown,6,ROR,conditional,bool,13,killed
5,7,AOR,conditional,Unknown,6,ROR,conditional,bool,14,killed
5,7,AOR,conditional,Unknown,6,ROR,conditional,bool,15,killed
5,7,AOR,conditional,Unknown,6,ROR,conditional,bool,16,killed
5,7,AOR,conditional,Unknown,6,ROR,conditional,bool,17,killed
6,7,AOR,conditional,Unknown,7,AOR,conditional,Unknown,18,killed
9,7,AOR,conditional,Unknown,6,COD,conditional,bool,19,killed
9,7,AOR,conditional,Unknown,6,COD,conditional,bool,20,killed
7,7,AOR,conditional,Unknown,4,COI,conditional,bool,21,killed
7,7,AOR,conditional,Unknown,4,COI,conditional,bool,22,killed
9,7,AOR,conditional,Unknown,6,CRP,conditional,Unknown,23,killed
9,7,AOR,conditional,Unknown,6,LCR,conditional,bool,24,killed
4,7,AOR,conditional,Unknown,5,LCR,return,bool,25,killed
9,7,AOR,conditional,Unknown,6,ROR,conditional,bool,26,killed
9,7,AOR,conditional,Unknown,6,ROR,conditional,bool,27,killed
5,7,AOR,conditional,Unknown,6,ROR,conditional,bool,28,killed
5,7,AOR,conditional,Unknown,6,ROR,conditional,bool,29,killed
3,7,AOR,conditional,Unknown,6,ROR,conditional,bool,30,killed
3,7,AOR,conditional,Unknown,6,ROR,conditional,bool,31,killed
