distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
9,8,AOD,conditional,Unknown,9,AOD,conditional,Unknown,1,killed
10,8,AOD,conditional,Unknown,10,AOD,conditional,Unknown,2,survived
11,8,AOD,conditional,Unknown,11,AOD,conditional,Unknown,3,survived
11,8,AOD,conditional,Unknown,11,AOD,conditional,Unknown,4,survived
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,5,survived
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,6,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,7,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,8,survived
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,9,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,10,killed
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,11,survived
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,12,timeout
13,8,AOD,conditional,Unknown,7,AOR,conditional,Unknown,13,survived
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,14,timeout
14,8,AOD,conditional,Unknown,8,AOR,method,Unknown,15,timeout
14,8,AOD,conditional,Unknown,8,AOR,method,Unknown,16,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,17,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,18,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,19,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,20,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,21,timeout
14,8,AOD,conditional,Unknown,8,AOR,assignment,Unknown,22,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,23,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,24,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,25,killed
14,8,AOD,conditional,Unknown,8,AOR,method,Unknown,26,survived
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,27,survived
15,8,AOD,conditional,Unknown,9,AOR,method,Unknown,28,survived
15,8,AOD,conditional,Unknown,9,AOR,assignment,Unknown,29,timeout
14,8,AOD,conditional,Unknown,8,AOR,assignment,Unknown,30,timeout
14,8,AOD,conditional,Unknown,8,AOR,assignment,Unknown,31,survived
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,32,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,33,killed
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,34,survived
14,8,AOD,conditional,Unknown,8,AOR,assignment,Unknown,35,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,36,timeout
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,37,survived
12,8,AOD,conditional,Unknown,8,AOR,method,Unknown,38,survived
8,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,39,timeout
10,8,AOD,conditional,Unknown,8,AOR,method,Unknown,40,timeout
9,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,41,timeout
6,8,AOD,conditional,Unknown,8,AOR,conditional,Unknown,42,timeout
5,8,AOD,conditional,Unknown,7,AOR,conditional,Unknown,43,timeout
7,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,44,survived
10,8,AOD,conditional,Unknown,10,AOR,conditional,Unknown,45,killed
8,8,AOD,conditional,Unknown,8,AOR,assignment,Unknown,46,killed
11,8,AOD,conditional,Unknown,11,AOR,conditional,Unknown,47,survived
9,8,AOD,conditional,Unknown,9,AOR,conditional,Unknown,48,timeout
9,8,AOD,conditional,Unknown,9,AOR,assignment,Unknown,49,survived
12,8,AOD,conditional,Unknown,12,AOR,conditional,Unknown,50,survived
12,8,AOD,conditional,Unknown,12,AOR,conditional,Unknown,51,survived
10,8,AOD,conditional,Unknown,10,AOR,assignment,Unknown,52,survived
8,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,53,timeout
14,8,AOD,conditional,Unknown,8,AOR,method,Unknown,54,survived
17,8,AOD,conditional,Unknown,11,AOR,method,Unknown,55,killed
16,8,AOD,conditional,Unknown,10,AOR,method,Unknown,56,killed
15,8,AOD,conditional,Unknown,9,AOR,method,Unknown,57,killed
14,8,AOD,conditional,Unknown,8,AOR,method,Unknown,58,killed
13,8,AOD,conditional,Unknown,7,AOR,method,Unknown,59,killed
13,8,AOD,conditional,Unknown,7,AOR,assignment,Unknown,60,timeout
15,8,AOD,conditional,Unknown,9,AOR,method,Unknown,61,survived
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,62,timeout
12,8,AOD,conditional,Unknown,6,AOR,assignment,Unknown,63,survived
12,8,AOD,conditional,Unknown,6,BCR,loop,Unknown,64,timeout
11,8,AOD,conditional,Unknown,5,BCR,loop,Unknown,65,timeout
13,8,AOD,conditional,Unknown,7,BCR,loop,Unknown,66,timeout
12,8,AOD,conditional,Unknown,6,BCR,loop,Unknown,67,timeout
12,8,AOD,conditional,Unknown,6,BCR,loop,Unknown,68,killed
12,8,AOD,conditional,Unknown,6,BCR,loop,Unknown,69,timeout
12,8,AOD,conditional,Unknown,6,BCR,loop,Unknown,70,survived
12,8,AOD,conditional,Unknown,6,COD,conditional,bool,71,survived
11,8,AOD,conditional,Unknown,5,COD,conditional,bool,72,killed
12,8,AOD,conditional,Unknown,6,COD,conditional,bool,73,killed
11,8,AOD,conditional,Unknown,5,COD,conditional,bool,74,timeout
13,8,AOD,conditional,Unknown,7,COD,conditional,bool,75,killed
13,8,AOD,conditional,Unknown,7,COD,conditional,bool,76,killed
13,8,AOD,conditional,Unknown,7,COD,conditional,bool,77,survived
12,8,AOD,conditional,Unknown,6,COD,conditional,bool,78,killed
10,8,AOD,conditional,Unknown,4,COD,conditional,bool,79,survived
12,8,AOD,conditional,Unknown,6,COD,conditional,bool,80,killed
12,8,AOD,conditional,Unknown,6,COD,conditional,bool,81,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,82,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,83,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,84,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,85,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,86,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,87,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,88,timeout
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,89,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,90,survived
12,8,AOD,conditional,Unknown,6,COI,conditional,bool,91,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,92,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,93,timeout
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,94,timeout
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,95,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,96,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,97,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,98,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,99,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,100,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,101,survived
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,102,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,103,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,104,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,105,killed
9,8,AOD,conditional,Unknown,3,COI,conditional,bool,106,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,107,timeout
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,108,timeout
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,109,timeout
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,110,killed
12,8,AOD,conditional,Unknown,6,COI,conditional,bool,111,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,112,killed
8,8,AOD,conditional,Unknown,4,COI,conditional,bool,113,timeout
6,8,AOD,conditional,Unknown,4,COI,conditional,bool,114,killed
5,8,AOD,conditional,Unknown,5,COI,conditional,bool,115,killed
6,8,AOD,conditional,Unknown,6,COI,conditional,bool,116,survived
7,8,AOD,conditional,Unknown,7,COI,conditional,bool,117,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,118,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,119,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,120,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,121,killed
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,122,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,123,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,124,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,125,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,126,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,127,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,128,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,129,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,130,killed
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,131,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,132,survived
11,8,AOD,conditional,Unknown,5,COI,conditional,bool,133,survived
9,8,AOD,conditional,Unknown,3,COI,conditional,bool,134,survived
10,8,AOD,conditional,Unknown,4,COI,conditional,bool,135,killed
