distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
3,5,AOR,assignment,Unknown,4,AOR,assignment,Unknown,1,incompetent
11,5,AOR,assignment,Unknown,8,AOR,method,Unknown,2,incompetent
10,5,AOR,assignment,Unknown,7,AOR,assignment,Unknown,3,incompetent
9,5,AOR,assignment,Unknown,6,AOR,method,Unknown,4,incompetent
9,5,AOR,assignment,Unknown,6,AOR,method,Unknown,5,incompetent
8,5,AOR,assignment,Unknown,5,ASR,assignment,Unknown,6,incompetent
10,5,AOR,assignment,Unknown,7,ASR,assignment,Unknown,7,incompetent
7,5,AOR,assignment,Unknown,4,ASR,assignment,Unknown,8,incompetent
7,5,AOR,assignment,Unknown,4,BCR,loop,Unknown,9,incompetent
8,5,AOR,assignment,Unknown,5,COD,conditional,bool,10,incompetent
7,5,AOR,assignment,Unknown,4,COD,conditional,bool,11,incompetent
9,5,AOR,assignment,Unknown,6,COD,conditional,bool,12,incompetent
10,5,AOR,assignment,Unknown,7,COD,conditional,bool,13,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,14,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,15,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,16,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,17,incompetent
7,5,AOR,assignment,Unknown,4,COI,conditional,bool,18,incompetent
8,5,AOR,assignment,Unknown,5,COI,conditional,bool,19,incompetent
8,5,AOR,assignment,Unknown,5,COI,conditional,bool,20,incompetent
7,5,AOR,assignment,Unknown,4,COI,conditional,bool,21,incompetent
9,5,AOR,assignment,Unknown,6,COI,conditional,bool,22,incompetent
8,5,AOR,assignment,Unknown,5,COI,conditional,bool,23,incompetent
9,5,AOR,assignment,Unknown,6,COI,conditional,bool,24,incompetent
8,5,AOR,assignment,Unknown,5,COI,conditional,bool,25,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,26,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,27,incompetent
6,5,AOR,assignment,Unknown,3,COI,conditional,bool,28,incompetent
3,5,AOR,assignment,Unknown,4,CRP,assignment,Unknown,29,incompetent
3,5,AOR,assignment,Unknown,4,CRP,assignment,Unknown,30,incompetent
7,5,AOR,assignment,Unknown,4,CRP,method,Unknown,31,incompetent
7,5,AOR,assignment,Unknown,4,CRP,method,Unknown,32,incompetent
7,5,AOR,assignment,Unknown,4,CRP,method,Unknown,33,incompetent
7,5,AOR,assignment,Unknown,4,CRP,method,Unknown,34,incompetent
10,5,AOR,assignment,Unknown,7,CRP,method,Unknown,35,incompetent
10,5,AOR,assignment,Unknown,7,CRP,method,Unknown,36,incompetent
10,5,AOR,assignment,Unknown,7,CRP,assignment,Unknown,37,incompetent
10,5,AOR,assignment,Unknown,7,CRP,method,Unknown,38,incompetent
10,5,AOR,assignment,Unknown,7,CRP,method,Unknown,39,incompetent
8,5,AOR,assignment,Unknown,5,CRP,assignment,Unknown,40,incompetent
9,5,AOR,assignment,Unknown,6,CRP,assignment,Unknown,41,incompetent
9,5,AOR,assignment,Unknown,6,CRP,assignment,Unknown,42,incompetent
9,5,AOR,assignment,Unknown,6,CRP,assignment,Unknown,43,incompetent
9,5,AOR,assignment,Unknown,6,CRP,assignment,Unknown,44,incompetent
11,5,AOR,assignment,Unknown,8,CRP,conditional,Unknown,45,incompetent
