distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
9,4,AOR,assignment,Unknown,7,AOR,method,Unknown,1,timeout
9,4,AOR,assignment,Unknown,7,AOR,method,Unknown,2,timeout
8,4,AOR,assignment,Unknown,6,COD,conditional,bool,3,timeout
8,4,AOR,assignment,Unknown,6,COD,conditional,bool,4,timeout
7,4,AOR,assignment,Unknown,5,COD,return,bool,5,killed
5,4,AOR,assignment,Unknown,3,COI,conditional,bool,6,killed
5,4,AOR,assignment,Unknown,3,COI,conditional,bool,7,timeout
5,4,AOR,assignment,Unknown,3,COI,conditional,bool,8,killed
5,4,AOR,assignment,Unknown,3,COI,conditional,bool,9,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,10,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,11,timeout
7,4,AOR,assignment,Unknown,5,COI,conditional,bool,12,timeout
7,4,AOR,assignment,Unknown,5,COI,conditional,bool,13,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,14,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,15,timeout
7,4,AOR,assignment,Unknown,5,COI,conditional,bool,16,timeout
8,4,AOR,assignment,Unknown,6,COI,conditional,bool,17,timeout
9,4,AOR,assignment,Unknown,7,COI,conditional,bool,18,timeout
10,4,AOR,assignment,Unknown,8,COI,conditional,bool,19,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,20,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,21,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,22,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,23,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,24,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,25,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,26,timeout
6,4,AOR,assignment,Unknown,4,COI,conditional,bool,27,timeout
5,4,AOR,assignment,Unknown,3,COI,conditional,bool,28,timeout
5,4,AOR,assignment,Unknown,3,COI,conditional,bool,29,timeout
7,4,AOR,assignment,Unknown,5,COI,conditional,bool,30,timeout
