distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
13,8,AOD,assignment,Unknown,7,AOD,conditional,Unknown,1,killed
13,8,AOD,assignment,Unknown,7,AOD,assignment,Unknown,2,killed
7,8,AOD,assignment,Unknown,7,AOR,assignment,Unknown,3,survived
14,8,AOD,assignment,Unknown,8,AOR,conditional,Unknown,4,killed
14,8,AOD,assignment,Unknown,8,AOR,assignment,Unknown,5,killed
7,8,AOD,assignment,Unknown,5,BCR,loop,Unknown,6,survived
12,8,AOD,assignment,Unknown,6,COD,conditional,bool,7,killed
13,8,AOD,assignment,Unknown,7,COD,conditional,bool,8,killed
10,8,AOD,assignment,Unknown,4,COD,conditional,bool,9,killed
10,8,AOD,assignment,Unknown,4,COD,conditional,bool,10,killed
10,8,AOD,assignment,Unknown,4,COD,conditional,bool,11,killed
10,8,AOD,assignment,Unknown,4,COD,conditional,bool,12,killed
11,8,AOD,assignment,Unknown,5,COI,conditional,bool,13,killed
12,8,AOD,assignment,Unknown,6,COI,conditional,bool,14,killed
10,8,AOD,assignment,Unknown,4,COI,conditional,bool,15,killed
12,8,AOD,assignment,Unknown,6,COI,conditional,bool,16,survived
13,8,AOD,assignment,Unknown,7,COI,conditional,bool,17,killed
13,8,AOD,assignment,Unknown,7,COI,conditional,bool,18,survived
7,8,AOD,assignment,Unknown,3,COI,conditional,bool,19,survived
6,8,AOD,assignment,Unknown,4,COI,conditional,bool,20,survived
6,8,AOD,assignment,Unknown,4,COI,conditional,bool,21,survived
9,8,AOD,assignment,Unknown,3,COI,conditional,bool,22,killed
9,8,AOD,assignment,Unknown,3,COI,conditional,bool,23,killed
9,8,AOD,assignment,Unknown,3,COI,conditional,bool,24,killed
9,8,AOD,assignment,Unknown,3,COI,conditional,bool,25,killed
9,8,AOD,assignment,Unknown,3,COI,conditional,bool,26,killed
9,8,AOD,assignment,Unknown,3,COI,conditional,bool,27,killed
10,8,AOD,assignment,Unknown,4,COI,conditional,bool,28,killed
10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,29,survived
10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,30,survived
10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,31,survived
10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,32,survived
10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,33,survived
10,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,34,survived
10,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,35,killed
10,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,36,killed
13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,37,killed
13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,38,killed
13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,39,killed
13,8,AOD,assignment,Unknown,7,CRP,method,Unknown,40,killed
15,8,AOD,assignment,Unknown,9,CRP,assignment,Unknown,41,survived
14,8,AOD,assignment,Unknown,8,CRP,method,Unknown,42,survived
14,8,AOD,assignment,Unknown,8,CRP,method,Unknown,43,survived
12,8,AOD,assignment,Unknown,6,CRP,method,Unknown,44,survived
12,8,AOD,assignment,Unknown,6,CRP,method,Unknown,45,survived
8,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,46,survived
8,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,47,survived
8,8,AOD,assignment,Unknown,4,CRP,assignment,Unknown,48,survived
6,8,AOD,assignment,Unknown,4,CRP,conditional,Unknown,49,survived
9,8,AOD,assignment,Unknown,7,CRP,conditional,Unknown,50,survived
9,8,AOD,assignment,Unknown,7,CRP,conditional,Unknown,51,survived
9,8,AOD,assignment,Unknown,7,CRP,conditional,Unknown,52,survived
9,8,AOD,assignment,Unknown,7,CRP,conditional,Unknown,53,survived
8,8,AOD,assignment,Unknown,6,CRP,conditional,Unknown,54,survived
8,8,AOD,assignment,Unknown,6,CRP,conditional,Unknown,55,survived
6,8,AOD,assignment,Unknown,6,CRP,conditional,Unknown,56,survived
6,8,AOD,assignment,Unknown,6,CRP,conditional,Unknown,57,survived
9,8,AOD,assignment,Unknown,5,CRP,method,Unknown,58,survived
9,8,AOD,assignment,Unknown,5,CRP,method,Unknown,59,survived
9,8,AOD,assignment,Unknown,5,CRP,method,Unknown,60,survived
9,8,AOD,assignment,Unknown,5,CRP,method,Unknown,61,survived
10,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,62,survived
10,8,AOD,assignment,Unknown,4,CRP,unknow,Unknown,63,survived
11,8,AOD,assignment,Unknown,5,CRP,method,Unknown,64,survived
11,8,AOD,assignment,Unknown,5,CRP,method,Unknown,65,survived
