distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
3,12,AOR,method,Unknown,11,AOR,method,Unknown,1,survived
4,12,AOR,method,Unknown,10,AOR,method,Unknown,2,survived
16,12,AOR,method,Unknown,8,AOR,method,Unknown,3,survived
14,12,AOR,method,Unknown,6,AOR,assignment,Unknown,4,survived
15,12,AOR,method,Unknown,7,AOR,method,Unknown,5,survived
11,12,AOR,method,Unknown,3,COI,conditional,bool,6,survived
9,12,AOR,method,Unknown,7,COI,conditional,bool,7,survived
12,12,AOR,method,Unknown,2,COI,conditional,bool,8,incompetent
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,9,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,10,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,11,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,12,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,13,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,14,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,15,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,16,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,17,killed
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,18,killed
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,19,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,20,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,21,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,22,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,23,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,24,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,25,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,26,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,27,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,28,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,29,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,30,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,31,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,32,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,33,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,34,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,35,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,36,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,37,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,38,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,39,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,40,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,41,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,42,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,43,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,44,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,45,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,46,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,47,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,48,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,49,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,50,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,51,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,52,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,53,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,54,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,55,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,56,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,57,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,58,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,59,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,60,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,61,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,62,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,63,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,64,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,65,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,66,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,67,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,68,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,69,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,70,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,71,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,72,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,73,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,74,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,75,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,76,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,77,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,78,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,79,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,80,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,81,survived
14,12,AOR,method,Unknown,4,CRP,assignment,Unknown,82,survived
14,12,AOR,method,Unknown,6,CRP,assignment,Unknown,83,survived
16,12,AOR,method,Unknown,8,CRP,assignment,Unknown,84,survived
13,12,AOR,method,Unknown,5,CRP,assignment,Unknown,85,survived
13,12,AOR,method,Unknown,5,CRP,assignment,Unknown,86,survived
13,12,AOR,method,Unknown,5,CRP,conditional,Unknown,87,survived
15,12,AOR,method,Unknown,7,CRP,assignment,Unknown,88,survived
13,12,AOR,method,Unknown,5,CRP,assignment,Unknown,89,survived
13,12,AOR,method,Unknown,5,CRP,assignment,Unknown,90,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,91,survived
16,12,AOR,method,Unknown,8,CRP,assignment,Unknown,92,survived
20,12,AOR,method,Unknown,12,CRP,method,Unknown,93,survived
13,12,AOR,method,Unknown,5,CRP,assignment,Unknown,94,survived
13,12,AOR,method,Unknown,5,CRP,assignment,Unknown,95,survived
12,12,AOR,method,Unknown,6,CRP,method,Unknown,96,survived
12,12,AOR,method,Unknown,6,CRP,method,Unknown,97,survived
9,12,AOR,method,Unknown,7,CRP,conditional,Unknown,98,survived
9,12,AOR,method,Unknown,7,CRP,conditional,Unknown,99,survived
2,12,AOR,method,Unknown,12,CRP,method,Unknown,100,survived
2,12,AOR,method,Unknown,12,CRP,method,Unknown,101,survived
3,12,AOR,method,Unknown,13,CRP,method,Unknown,102,survived
3,12,AOR,method,Unknown,11,CRP,method,Unknown,103,survived
3,12,AOR,method,Unknown,11,CRP,method,Unknown,104,survived
16,12,AOR,method,Unknown,8,CRP,method,Unknown,105,survived
16,12,AOR,method,Unknown,8,CRP,method,Unknown,106,survived
14,12,AOR,method,Unknown,6,CRP,assignment,Unknown,107,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,108,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,109,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,110,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,111,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,112,survived
14,12,AOR,method,Unknown,6,CRP,method,Unknown,113,survived
14,12,AOR,method,Unknown,6,CRP,method,Unknown,114,survived
15,12,AOR,method,Unknown,7,CRP,method,Unknown,115,survived
14,12,AOR,method,Unknown,4,CRP,conditional,Unknown,116,survived
14,12,AOR,method,Unknown,4,CRP,conditional,Unknown,117,survived
12,12,AOR,method,Unknown,4,EHD,unknow,Unknown,118,survived
12,12,AOR,method,Unknown,4,EXS,unknow,Unknown,119,survived
13,12,AOR,method,Unknown,5,LCR,assignment,bool,120,survived
