distanceBetweenTwoMutant,mutant1DepthOnAST,mutant1TypeOperator,mutant1TypeStatement,mutant1TypeReturn,mutant2DepthOnAST,mutant2TypeOperator,mutant2TypeStatement,mutant2TypeReturn,id,result
15,10,AOD,conditional,Unknown,9,AOD,conditional,Unknown,1,killed
15,10,AOD,conditional,Unknown,7,AOD,assignment,Unknown,2,killed
15,10,AOD,conditional,Unknown,7,AOD,assignment,Unknown,3,killed
14,10,AOD,conditional,Unknown,6,AOD,assignment,Unknown,4,killed
16,10,AOD,conditional,Unknown,8,AOD,assignment,Unknown,5,killed
12,10,AOD,conditional,Unknown,6,AOR,return,Unknown,6,killed
12,10,AOD,conditional,Unknown,8,AOR,method,Unknown,7,timeout
14,10,AOD,conditional,Unknown,8,AOR,method,Unknown,8,killed
13,10,AOD,conditional,Unknown,7,AOR,method,Unknown,9,killed
16,10,AOD,conditional,Unknown,10,AOR,conditional,Unknown,10,killed
13,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,11,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,12,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,13,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,14,killed
17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,15,killed
18,10,AOD,conditional,Unknown,10,AOR,assignment,Unknown,16,killed
17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,17,killed
17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,18,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,19,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,20,killed
17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,21,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,22,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,23,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,24,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,25,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,26,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,27,killed
17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,28,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,29,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,30,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,31,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,32,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,33,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,34,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,35,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,36,killed
17,10,AOD,conditional,Unknown,9,AOR,method,Unknown,37,killed
14,10,AOD,conditional,Unknown,6,AOR,assignment,Unknown,38,killed
17,10,AOD,conditional,Unknown,9,AOR,assignment,Unknown,39,killed
16,10,AOD,conditional,Unknown,8,AOR,assignment,Unknown,40,killed
15,10,AOD,conditional,Unknown,7,AOR,assignment,Unknown,41,killed
14,10,AOD,conditional,Unknown,6,AOR,assignment,Unknown,42,killed
10,10,AOD,conditional,Unknown,6,COD,conditional,bool,43,killed
10,10,AOD,conditional,Unknown,6,COD,conditional,bool,44,killed
10,10,AOD,conditional,Unknown,6,COD,conditional,bool,45,killed
12,10,AOD,conditional,Unknown,6,COD,conditional,bool,46,killed
12,10,AOD,conditional,Unknown,6,COD,conditional,bool,47,killed
12,10,AOD,conditional,Unknown,6,COD,conditional,bool,48,killed
11,10,AOD,conditional,Unknown,5,COD,conditional,bool,49,killed
11,10,AOD,conditional,Unknown,5,COD,conditional,bool,50,killed
12,10,AOD,conditional,Unknown,4,COD,conditional,bool,51,killed
13,10,AOD,conditional,Unknown,5,COD,conditional,bool,52,killed
13,10,AOD,conditional,Unknown,5,COD,conditional,bool,53,killed
8,10,AOD,conditional,Unknown,4,COI,conditional,bool,54,killed
8,10,AOD,conditional,Unknown,4,COI,conditional,bool,55,killed
8,10,AOD,conditional,Unknown,4,COI,conditional,bool,56,killed
8,10,AOD,conditional,Unknown,4,COI,conditional,bool,57,killed
8,10,AOD,conditional,Unknown,4,COI,conditional,bool,58,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,59,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,60,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,61,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,62,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,63,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,64,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,65,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,66,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,67,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,68,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,69,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,70,killed
10,10,AOD,conditional,Unknown,4,COI,conditional,bool,71,killed
11,10,AOD,conditional,Unknown,3,COI,conditional,bool,72,killed
11,10,AOD,conditional,Unknown,3,COI,conditional,bool,73,killed
11,10,AOD,conditional,Unknown,3,COI,conditional,bool,74,killed
12,10,AOD,conditional,Unknown,4,COI,conditional,bool,75,killed
12,10,AOD,conditional,Unknown,4,COI,conditional,bool,76,killed
12,10,AOD,conditional,Unknown,4,COI,conditional,bool,77,killed
12,10,AOD,conditional,Unknown,4,COI,conditional,bool,78,killed
12,10,AOD,conditional,Unknown,4,COI,conditional,bool,79,killed
12,10,AOD,conditional,Unknown,4,COI,conditional,bool,80,killed
13,10,AOD,conditional,Unknown,5,COI,conditional,bool,81,killed
15,10,AOD,conditional,Unknown,7,COI,conditional,bool,82,killed
11,10,AOD,conditional,Unknown,3,COI,conditional,bool,83,killed
12,10,AOD,conditional,Unknown,4,CRP,assignment,Unknown,84,killed
12,10,AOD,conditional,Unknown,4,CRP,assignment,Unknown,85,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,86,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,87,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,88,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,89,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,90,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,91,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,92,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,93,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,94,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,95,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,96,killed
11,10,AOD,conditional,Unknown,3,CRP,assignment,Unknown,97,killed
11,10,AOD,conditional,Unknown,5,CRP,assignment,Unknown,98,killed
12,10,AOD,conditional,Unknown,6,CRP,return,Unknown,99,killed
12,10,AOD,conditional,Unknown,6,CRP,return,Unknown,100,killed
11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,101,killed
11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,102,killed
11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,103,killed
12,10,AOD,conditional,Unknown,8,CRP,method,Unknown,104,timeout
12,10,AOD,conditional,Unknown,8,CRP,method,Unknown,105,timeout
11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,106,killed
11,10,AOD,conditional,Unknown,7,CRP,method,Unknown,107,killed
5,10,AOD,conditional,Unknown,9,CRP,conditional,Unknown,108,killed
9,10,AOD,conditional,Unknown,7,CRP,method,Unknown,109,killed
9,10,AOD,conditional,Unknown,7,CRP,method,Unknown,110,killed
